msa_title,msa,pop
"Natchez, MS-LA Micro Area (part); Louisiana",35020,18325
"Natchitoches, LA Micro Area; Louisiana",35060,37047
"New Iberia, LA Micro Area; Louisiana",35340,69194
"New Orleans-Metairie, LA Metro Area; Louisiana",35380,988763
"Opelousas, LA Micro Area; Louisiana",36660,82128
"Ruston, LA Micro Area; Louisiana",40820,48160
"Shreveport-Bossier City, LA Metro Area; Louisiana",43340,389004
"Slidell-Mandeville-Covington, LA Metro Area; Louisiana",43640,269331
"Augusta-Waterville, ME Micro Area; Maine",12300,125614
"Bangor, ME Metro Area; Maine",12620,153571
"Lewiston-Auburn, ME Metro Area; Maine",30340,112323
"Portland-South Portland, ME Metro Area; Maine",38860,557764
"Baltimore-Columbia-Towson, MD Metro Area; Maryland",12580,2839409
"Cambridge, MD Micro Area; Maryland",15700,32612
"Cumberland, MD-WV Micro Area (part); Maryland",19060,67762
"Easton, MD Micro Area; Maryland",20660,37707
"Hagerstown-Martinsburg, MD-WV Metro Area (part); Maryland",25180,155033
"Lexington Park, MD Metro Area; Maryland",30500,208163
"Ocean Pines, MD Micro Area; Maryland",36180,53279
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Maryland",37980,104366
"Salisbury, MD Metro Area; Maryland",41540,128802
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); Maryland",47900,2462221
"Amherst Town-Northampton, MA Metro Area; Massachusetts",11200,156595
"Barnstable Town, MA Metro Area; Massachusetts",12700,230073
"Boston-Cambridge-Newton, MA-NH Metro Area (part); Massachusetts",14460,4468755
"Greenfield, MA Micro Area; Massachusetts",24640,70922
"Nantucket, MA Micro Area; Massachusetts",34880,14299
"Pittsfield, MA Metro Area; Massachusetts",38340,128047
"Providence-Warwick, RI-MA Metro Area (part); Massachusetts",39300,578436
"Springfield, MA Metro Area; Massachusetts",44140,462853
"Vineyard Haven, MA Micro Area; Massachusetts",47240,20751
"Worcester, MA Metro Area; Massachusetts",49340,861664
"Adrian, MI Micro Area; Michigan",10300,98823
"Alma, MI Micro Area; Michigan",10940,41478
"Alpena, MI Micro Area; Michigan",10980,28908
"Ann Arbor, MI Metro Area; Michigan",11460,368394
"Battle Creek, MI Metro Area; Michigan",12980,133846
"Bay City, MI Metro Area; Michigan",13020,103235
"Big Rapids, MI Micro Area; Michigan",13660,40321
"Cadillac, MI Micro Area; Michigan",15620,49024
"Coldwater, MI Micro Area; Michigan",17740,44914
"Detroit-Warren-Dearborn, MI Metro Area; Michigan",19820,4367620
"Escanaba, MI Micro Area; Michigan",21540,36829
"Flint, MI Metro Area; Michigan",22420,404087
"Grand Rapids-Wyoming-Kentwood, MI Metro Area; Michigan",24340,1154320
"Hillsdale, MI Micro Area; Michigan",25880,45658
"Holland, MI Micro Area; Michigan",26090,120913
"Houghton, MI Micro Area; Michigan",26340,39534
"Iron Mountain, MI-WI Micro Area (part); Michigan",27020,25940
"Jackson, MI Metro Area; Michigan",27100,160187
"Kalamazoo-Portage, MI Metro Area; Michigan",28020,261437
"Lansing-East Lansing, MI Metro Area; Michigan",29620,470434
"Ludington, MI Micro Area; Michigan",31220,29177
"Marinette, WI-MI Micro Area (part); Michigan",31940,23295
